회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급
고려제강,2240,디,씨,비플러스,비플러스,비,에이,비플러스,비
벽산,7210,디,씨,비플러스,비플러스,비플러스,비,씨,에이
명신산업,9900,디,디,비플러스,비플러스,디,디,비플러스,에이
지엠비코리아,13870,디,디,비플러스,비,비,비플러스,씨,에이
세아특수강,19440,디,에이,에이,비플러스,씨,씨,비,에이
롯데관광개발,32500,디,디,비플러스,비플러스,에이,비,비,디
남양유업,3920,씨,비,비플러스,비,에이,비,비,비플러스
삼천리,4690,씨,씨,비플러스,비,에이,비플러스,에이,씨
성신양회,4980,씨,비,비플러스,비플러스,비,비,비플러스,에이
DN오토모티브,7340,씨,씨,비플러스,비플러스,에이,디,에이,비
경동나비엔,9450,씨,비,비플러스,비플러스,에이,에이,비플러스,비플러스
SNT홀딩스,36530,씨,비,비플러스,비플러스,디,디,비플러스,비
하이브,352820,씨,씨,비플러스,비플러스,비플러스,에이,에이,씨
JW중외제약,1060,씨,비플러스,비플러스,비,에이,비플러스,비,비플러스
코오롱,2020,씨,비플러스,에이,비플러스,씨,비플러스,에이,비플러스
부광약품,3000,씨,비플러스,비플러스,비,비플러스,비,씨,디
세방,4360,씨,비플러스,비플러스,비,비,에이,비,씨
농심,4370,씨,비플러스,에이,비플러스,에이,에이,비플러스,비플러스
깨끗한나라,4540,씨,비플러스,비플러스,비플러스,비플러스,디,씨,씨
DRB동일,4840,씨,비플러스,비플러스,비플러스,씨,비,비,비플러스
한국공항,5430,씨,비플러스,비플러스,비플러스,비플러스,씨,씨,에이
동부건설,5960,씨,비플러스,비플러스,비플러스,비플러스,비,비플러스,디
동원산업,6040,씨,비플러스,에이,비,에이,에이,에이,에이
대한유화,6650,씨,비플러스,비플러스,비,비,에이,비플러스,비플러스
오뚜기,7310,씨,비플러스,에이,비플러스,에이,에이,에이,비플러스
영원무역홀딩스,9970,씨,비플러스,에이,비플러스,씨,비플러스,에이,씨
화신,10690,씨,비플러스,비플러스,비,비플러스,비플러스,비플러스,에이
HDC,12630,씨,비플러스,비플러스,비플러스,디,비플러스,에이,씨
웅진,16880,씨,비플러스,에이,비,비플러스,비,비,비
다우기술,23590,씨,비플러스,비플러스,비플러스,에이,비플러스,에이,씨
SBS,34120,씨,비플러스,비플러스,비,비플러스,비플러스,비플러스,디
한국항공우주,47810,씨,비플러스,에이,비,에이,에이,에이,씨
세아홀딩스,58650,씨,비플러스,비플러스,비,씨,비,에이,비플러스
농심홀딩스,72710,씨,비플러스,비플러스,비플러스,디,비,비플러스,씨
HDC현대EP,89470,씨,비플러스,에이,비플러스,비,디,비,에이
한세실업,105630,씨,비플러스,에이,비플러스,비플러스,비플러스,비플러스,비플러스
선진,136490,씨,비플러스,비플러스,비,비,비플러스,비플러스,에이
아세아시멘트,183190,씨,비플러스,비플러스,비,씨,씨,비플러스,씨
JW생명과학,234080,씨,비플러스,비플러스,비플러스,씨,비,씨,씨
HDC현대산업개발,294870,씨,비플러스,비플러스,비,에이,에이,에이,디
세아베스틸지주,1430,씨,에이,에이,비플러스,씨,에이,에이,디
한일홀딩스,3300,씨,에이,에이,비플러스,디,씨,비플러스,씨
LS,6260,씨,에이,에이,비플러스,씨,에이,에이,비플러스
씨에스윈드,112610,씨,에이,에이,비플러스,씨,비,에이,씨
한일시멘트,300720,씨,에이,에이,비,비,비,비플러스,비플러스
하이트진로,80,비,비,비플러스,비,에이,비플러스,에이,비
하이트진로홀딩스,140,비,비플러스,비플러스,비플러스,디,비,비플러스,비플러스
한국앤컴퍼니,240,비,비플러스,에이,비플러스,에이,에이,에이,디
가온전선,500,비,비플러스,에이,비플러스,비플러스,비플러스,비,에이
영풍,670,비,비플러스,비플러스,비,비,비플러스,에이,씨
LS네트웍스,680,비,비플러스,에이,비,비,비,비플러스,씨
DB하이텍,990,비,비플러스,에이,비,에이,에이,비플러스,디
세아제강지주,3030,비,비플러스,비플러스,비,디,디,에이,비
풍산홀딩스,5810,비,비플러스,비플러스,비,씨,비플러스,비,디
서흥,8490,비,비플러스,에이,비플러스,비플러스,씨,비,디
무림페이퍼,9200,비,비플러스,에이,비,씨,비,비플러스,비플러스
한화솔루션,9830,비,비플러스,에이,비,에이,에이,에이,씨
현대코퍼레이션,11760,비,비플러스,비플러스,비플러스,비,비플러스,에이,에이
한솔케미칼,14680,비,비플러스,에이,비플러스,비,비플러스,비플러스,씨
유니드,14830,비,비플러스,에이,비플러스,비플러스,비,비플러스,씨
대교,19680,비,비플러스,비플러스,비,에이,비플러스,씨,씨
한솔홈데코,25750,비,비플러스,비플러스,비,비,씨,씨,비
두산에너빌리티,34020,비,비플러스,에이,비플러스,에이,에이,에이,비
동원F&B,49770,비,비,비플러스,비,에이,씨,비플러스,에이
LF,93050,비,비플러스,비플러스,비플러스,에이,에이,비플러스,비
후성,93370,비,비플러스,비플러스,비플러스,씨,디,비,씨
풍산,103140,비,비플러스,에이,비,에이,에이,비플러스,비플러스
현대코퍼레이션홀딩스,227840,비,비플러스,비플러스,비플러스,씨,비,씨,씨
일동제약,249420,비,비플러스,비플러스,비플러스,에이,비플러스,비,씨
넷마블,251270,비,비플러스,에이,비플러스,비플러스,에이,에이,디
동국홀딩스,1230,비,에이,에이,비,디,씨,비플러스,에이
아시아나항공,20560,비,에이,에이,비플러스,에이,비플러스,에이,씨
팬오션,28670,비,에이,에이,비,에이,에이,에이,디
신세계푸드,31440,비,에이,에이,비플러스,에이,비,비,에이
팜스코,36580,비,에이,에이,비플러스,비플러스,비,비,에이
LG화학,51910,비,에이,에이,비플러스,에이플러스,에이,에이,에이
제주항공,89590,비,에이,에이,비,에이,비플러스,비플러스,씨
유한양행,100,비플러스,에이,에이,비,에이,에이,에이,씨
CJ대한통운,120,비플러스,에이,에이,비,에이,에이,에이,비플러스
일동홀딩스,230,비플러스,에이,에이,비,씨,비,씨,디
SK하이닉스,660,비플러스,에이,에이,비플러스,에이,에이플러스,에이플러스,에이
CJ,1040,비플러스,에이,에이,비,씨,에이,에이,에이플러스
대상,1680,비플러스,에이,에이,비,에이,에이,에이,비플러스
아세아,2030,비플러스,에이,에이,비플러스,디,비,에이,씨
한진,2320,비플러스,에이,에이,비,에이,에이,비플러스,씨
한독,2390,비플러스,에이,에이,비,비플러스,비플러스,비,씨
삼양식품,3230,비플러스,에이,에이,비,에이,에이,비플러스,비플러스
포스코퓨처엠,3670,비플러스,에이,에이,비,에이,에이,에이,비
한솔테크닉스,4710,비플러스,비플러스,에이,비,비,비플러스,비플러스,비플러스
효성,4800,비플러스,에이,에이,비플러스,에이,에이,에이,디
AK홀딩스,6840,비플러스,에이,에이,비플러스,디,씨,에이,비
한미사이언스,8930,비플러스,비플러스,에이,비플러스,비,비,비플러스,비플러스
HD한국조선해양,9540,비플러스,에이,에이,비,에이,비플러스,에이,비플러스
삼성중공업,10140,비플러스,에이,에이,비,에이,에이,에이,비플러스
HD현대미포,10620,비플러스,에이,에이,비,비플러스,비플러스,에이,씨
한화에어로스페이스,12450,비플러스,에이,에이,비플러스,에이,에이,에이,비
지누스,13890,비플러스,에이,에이,비,씨,비,비플러스,디
HL D&I,14790,비플러스,에이,에이,비,비플러스,에이,비,씨
한세예스24홀딩스,16450,비플러스,에이,에이,비플러스,씨,비플러스,비플러스,비플러스
E1,17940,비플러스,에이,에이,비,씨,비플러스,에이,에이
한섬,20000,비플러스,에이,에이,비,비플러스,에이,비플러스,비플러스
코웨이,21240,비플러스,에이,에이,비,에이,에이,에이,비
콜마홀딩스,24720,비플러스,에이,에이,비,씨,에이,비,씨
BGF,27410,비플러스,에이,에이,비,디,씨,비,씨
신세계인터내셔날,31430,비플러스,에이,에이,비플러스,비플러스,비플러스,비플러스,비
광주신세계,37710,비플러스,에이,에이,비플러스,씨,비플러스,비,씨
한화오션,42660,비플러스,비플러스,에이,비,에이,에이,에이,비
HD현대인프라코어,42670,비플러스,에이,에이,비,에이,비플러스,에이,디
대우건설,47040,비플러스,에이,에이,비플러스,에이,에이,에이,비
한전기술,52690,비플러스,에이,에이,비,에이,에이,비,씨
한미글로벌,53690,비플러스,비플러스,에이,비,비플러스,에이,씨,씨
테이팩스,55490,비플러스,에이,에이,비,씨,비플러스,디,디
KTis,58860,비플러스,비플러스,에이,비,에이,비플러스,씨,비
HL홀딩스,60980,비플러스,에이,에이,비,비,에이,비플러스,씨
금호타이어,73240,비플러스,에이,에이,비플러스,에이,에이,에이,비플러스
CJ CGV,79160,비플러스,에이,에이,비,에이,에이,비플러스,디
휴비스,79980,비플러스,에이,에이,비,비,비,비,비플러스
휠라홀딩스,81660,비플러스,에이,에이,비,씨,에이,비플러스,디
대상홀딩스,84690,비플러스,비플러스,에이,비,씨,씨,에이,비
AJ네트웍스,95570,비플러스,비플러스,에이,비플러스,에이,비,비플러스,비
동성케미컬,102260,비플러스,에이,에이,비,비,비,비플러스,비플러스
영원무역,111770,비플러스,비플러스,에이,비,비,에이,에이,씨
코오롱인더,120110,비플러스,비플러스,에이,비,에이,에이,에이,씨
한미약품,128940,비플러스,비플러스,에이,비,에이,에이,에이,비
애경케미칼,161000,비플러스,에이,에이,비,비플러스,비플러스,비플러스,디
한국콜마,161890,비플러스,에이,에이,비,비플러스,에이,비플러스,비
종근당,185750,비플러스,비플러스,에이,비,에이,비플러스,비플러스,비플러스
해성디에스,195870,비플러스,에이,에이,비,에이,에이,비,씨
서연이화,200880,비플러스,비플러스,에이,비,비플러스,비플러스,비플러스,에이
한솔제지,213500,비플러스,에이,에이,비플러스,비플러스,에이,비플러스,씨
두산밥캣,241560,비플러스,에이,에이,비,씨,에이,에이,비
HD현대일렉트릭,267260,비플러스,에이,에이,비,에이,비플러스,에이,비플러스
진에어,272450,비플러스,에이,에이,비,에이,비플러스,비플러스,비플러스
세아제강,306200,비플러스,에이,에이,비,비,비,에이,에이
현대오토에버,307950,비플러스,에이,에이,비,에이,에이,에이,비플러스
HD현대중공업,329180,비플러스,에이,에이,비플러스,에이,비플러스,에이,비
두산퓨얼셀,336260,비플러스,에이,에이,비플러스,비플러스,비플러스,비플러스,디
대덕전자,353200,비플러스,에이,에이,비,에이,씨,비플러스,씨
LG전자,66570,에이,에이,에이플러스,비,에이,에이,에이,에이플러스
